img_name,R,G,B
image2.jpg,181,211,222
image2.jpg,178,208,219
image2.jpg,174,204,214
image2.jpg,177,207,217
image2.jpg,174,204,214
image2.jpg,159,198,205
image2.jpg,159,196,204
image2.jpg,168,205,211
image2.jpg,175,210,214
image2.jpg,169,202,207
image2.jpg,180,211,214
image2.jpg,175,205,207
image2.jpg,182,208,207
image2.jpg,196,219,213
image2.jpg,171,191,179
image2.jpg,158,173,154
image2.jpg,126,139,109
image2.jpg,105,116,74
image2.jpg,75,85,33
image2.jpg,89,99,39
image2.jpg,90,99,36
image2.jpg,79,82,0
image2.jpg,97,99,15
image2.jpg,101,98,17
image2.jpg,137,130,52
image2.jpg,111,97,26
image2.jpg,91,71,8
image2.jpg,90,60,8
image2.jpg,87,50,6
image2.jpg,125,81,46
image2.jpg,135,86,56
image2.jpg,76,20,0
image2.jpg,103,43,19
image2.jpg,98,36,11
image2.jpg,72,6,0
image2.jpg,126,61,31
image2.jpg,99,32,3
image2.jpg,140,47,29
image2.jpg,156,64,43
image2.jpg,124,32,9
image2.jpg,132,38,13
image2.jpg,119,23,0
image2.jpg,127,32,14
image2.jpg,118,28,17
image2.jpg,114,39,33
image2.jpg,75,21,19
image2.jpg,54,26,25
image2.jpg,56,52,51
image2.jpg,65,80,77
image2.jpg,143,200,219
image2.jpg,142,201,219
image2.jpg,141,202,220
image2.jpg,141,202,220
image2.jpg,140,203,220
image2.jpg,141,204,221
image2.jpg,142,203,221
image2.jpg,144,203,221
image2.jpg,146,203,222
image2.jpg,148,203,223
image2.jpg,151,203,224
image2.jpg,152,204,225
image2.jpg,150,205,225
image2.jpg,150,207,224
image2.jpg,150,207,224
image2.jpg,150,209,225
image2.jpg,146,209,226
image2.jpg,147,210,227
image2.jpg,149,210,228
image2.jpg,149,211,226
image2.jpg,150,209,225
image2.jpg,149,208,222
image2.jpg,151,209,221
image2.jpg,151,209,221
image2.jpg,151,209,220
image2.jpg,152,210,221
image2.jpg,153,211,222
image2.jpg,152,212,222
image2.jpg,152,212,223
image2.jpg,152,212,223
image2.jpg,150,212,223
image2.jpg,151,213,224
image2.jpg,158,210,224
image2.jpg,157,210,224
image2.jpg,158,211,225
image2.jpg,159,212,226
image2.jpg,159,212,226
image2.jpg,157,213,226
image2.jpg,158,214,227
image2.jpg,159,215,228
image2.jpg,160,216,229
image2.jpg,160,216,229
image2.jpg,159,215,228
image2.jpg,158,214,227
image2.jpg,160,213,227
image2.jpg,161,214,228
image2.jpg,162,215,229
image2.jpg,163,215,229
image2.jpg,161,216,236
image2.jpg,160,215,235
image2.jpg,160,215,235
image2.jpg,160,215,235
image2.jpg,160,216,233
image2.jpg,161,217,234
image2.jpg,161,217,232
image2.jpg,162,218,233
image2.jpg,163,216,230
image2.jpg,164,217,231
image2.jpg,165,217,230
image2.jpg,168,217,231
image2.jpg,171,217,232
image2.jpg,172,218,231
image2.jpg,174,218,231
image2.jpg,175,219,232
image2.jpg,175,220,225
image2.jpg,177,220,226
image2.jpg,179,218,225
image2.jpg,179,213,222
image2.jpg,177,209,220
image2.jpg,178,208,219
image2.jpg,180,210,221
image2.jpg,180,212,225
image2.jpg,180,216,228
image2.jpg,181,219,230
image2.jpg,173,213,225
image2.jpg,172,212,224
image2.jpg,182,218,232
image2.jpg,180,213,228
image2.jpg,174,203,219
image2.jpg,178,207,223
image2.jpg,182,216,228
image2.jpg,171,205,217
image2.jpg,175,207,220
image2.jpg,179,211,222
image2.jpg,180,212,223
image2.jpg,176,206,217
image2.jpg,169,199,209
image2.jpg,181,209,220
image2.jpg,189,218,226
image2.jpg,178,205,214
image2.jpg,172,197,204
image2.jpg,183,208,215
image2.jpg,186,209,217
image2.jpg,176,199,205
image2.jpg,180,203,209
image2.jpg,187,210,216
image2.jpg,182,221,226
image2.jpg,183,221,224
image2.jpg,178,213,215
image2.jpg,175,209,210
image2.jpg,176,206,206
image2.jpg,186,212,211
image2.jpg,181,203,200
image2.jpg,192,209,203
image2.jpg,199,211,201
image2.jpg,151,155,140
image2.jpg,149,149,125
image2.jpg,146,142,107
image2.jpg,126,119,75
image2.jpg,115,105,52
image2.jpg,94,82,22
image2.jpg,80,66,3
image2.jpg,123,99,39
image2.jpg,91,66,9
image2.jpg,104,75,19
image2.jpg,116,83,29
image2.jpg,104,66,17
image2.jpg,109,65,20
image2.jpg,69,20,0
image2.jpg,83,27,0
image2.jpg,76,12,0
image2.jpg,85,18,0
image2.jpg,115,40,17
image2.jpg,130,52,30
image2.jpg,138,58,33
image2.jpg,137,56,27
